,area,labels,file,fov,well,roi
0,139.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI1,D1,1
0,200.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI1,D2,1
1,151.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI1,D2,1
2,447.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI1,D2,1
0,431.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI2,C2,2
1,429.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI2,C2,2
2,1458.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI2,C2,2
0,477.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3,D3,3
1,338.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3,D3,3
2,341.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3,D3,3
3,418.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI3,D3,3
0,117.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4,C1,4
1,105.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4,C1,4
2,252.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4,C1,4
3,107.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI4,C1,4
0,2044.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3,D1,3
1,142.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3,D1,3
2,649.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3,D1,3
3,102.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3,D1,3
4,207.0,5,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI3,D1,3
0,438.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI3,C1,3
1,421.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI3,C1,3
0,650.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI4,C4,4
0,513.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5,C3,5
1,466.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5,C3,5
2,287.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5,C3,5
3,110.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5,C3,5
4,492.0,5,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI5,C3,5
0,123.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI2,D4,2
1,21.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI2,D4,2
2,474.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI2,D4,2
0,255.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3,D2,3
1,258.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3,D2,3
2,128.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3,D2,3
3,366.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3,D2,3
4,37.0,5,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI3,D2,3
0,853.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI4,D4,4
0,412.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3,C2,3
1,112.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3,C2,3
2,328.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3,C2,3
3,247.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI3,C2,3
0,293.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI5,C2,5
1,321.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI5,C2,5
2,401.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C2ROI5,C2,5
0,451.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI2,D1,2
0,342.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI2,C4,2
1,370.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI2,C4,2
2,274.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI2,C4,2
0,453.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI5,D2,5
0,72.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI4,D2,4
1,78.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI4,D2,4
2,239.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI4_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI4,D2,4
0,660.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1,C3,1
1,478.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1,C3,1
2,445.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1,C3,1
3,1000.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI1,C3,1
0,501.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI1,D4,1
0,474.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_123915_jg_ve_norha_mw_encapsulation_mech_match_liveDead_peg_10k/241215_124157_Plate 1/#24B2362280_ZProj/A1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_123915_jg_ve_norha_mw_encapsulation_mech_match_liveDead_peg_10k/241215_124157_Plate 1/#24B2362280_ZProj/A1ROI3,A1,3
