,axis_major_length,axis_minor_length,perimeter,area,eccentricity,labels,aspect,form_factor,file,fov,well,roi
10,129.63929563471834,80.39035056592853,438.61731573020285,7078.0,0.7845165390758752,11,1.6126225936581842,0.4623265951991594,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
11,182.98926078336004,102.456445788472,592.6700935788386,8515.0,0.8285573892479406,12,1.7860199948879085,0.3046270677837787,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
12,164.77488705085503,128.75871223809546,655.9970414071697,12537.0,0.6240030036018869,13,1.2797183521543762,0.3660999996974246,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
13,4.7504310473449705,2.6520567234546397,9.65685424949238,10.0,0.8296545749843498,14,1.791225280112762,1.347530211131618,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
14,31.15552385479446,0.0,25.0,27.0,1.0,15,inf,0.5428672105403163,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
15,158.43255676017887,115.60388180256975,596.6417023478423,12106.0,0.6837967710111903,16,1.3704778272995422,0.42734962114979097,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
16,21.171659098088753,11.787062118765355,53.45584412271571,194.0,0.8306883071235417,17,1.796177782450373,0.853141778920511,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
17,250.28264891533476,162.51118590377692,1028.874241767195,24905.0,0.7605233054952646,18,1.5400949019197203,0.29564587290660993,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
18,224.59836222721722,112.84285243708372,853.193000900063,17536.0,0.864623329862437,19,1.9903640981819697,0.3027232885901206,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
19,138.7907311550816,119.90709433962587,496.65894629054543,12237.0,0.5035919103687105,20,1.1574855676343017,0.6234021538916182,"/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",/mnt/z/James/norbornene homopolymerization/same_formulations/241208_160806_jg_ve_norha_mw_encapsulation_dapi_phal_d7_40k_60k/241208_160806_Plate 1/#24B2570319_ZProj/C4ROI5,C4,5
